iter	Passed	Remaining
0	3067	150293
1	5645	135502
2	8151	127714
3	10466	120369
4	13533	121797
5	16052	117718
6	18120	111310
7	20484	107545
8	22889	104274
9	26165	104662
10	28680	101686
11	31387	99392
12	33747	96049
13	36778	94572
14	39025	91058
15	41640	88486
16	44060	85529
17	46594	82835
18	49585	80902
19	52574	78862
20	54999	75951
21	57480	73157
22	59803	70203
23	62578	67793
24	65267	65267
25	67696	62489
26	70567	60113
27	73805	57989
28	76696	55539
29	79721	53147
30	82496	50562
31	85234	47944
32	87616	45135
33	90193	42443
34	93200	39943
35	95246	37040
36	97696	34325
37	100870	31853
38	103628	29228
39	106334	26583
40	108450	23806
41	110886	21121
42	113966	18552
43	116738	15918
44	119810	13312
45	122688	10668
46	125293	7997
47	127950	5331
48	130410	2661
49	132478	0
