iter	Passed	Remaining
0	778	38127
1	1286	30879
2	1974	30932
3	2623	30169
4	3114	28030
5	3738	27412
6	4361	26792
7	4889	25670
8	5670	25832
9	6380	25521
10	7239	25666
11	7818	24758
12	8563	24373
13	9223	23718
14	9944	23202
15	10599	22523
16	11233	21806
17	11746	20882
18	12569	20508
19	13393	20089
20	14251	19680
21	14977	19061
22	15664	18388
23	16510	17886
24	17303	17303
25	17939	16559
26	18526	15781
27	19216	15098
28	19962	14455
29	20612	13741
30	21440	13140
31	22236	12507
32	22907	11800
33	23668	11138
34	24407	10460
35	24973	9711
36	25717	9035
37	26474	8360
38	27292	7697
39	27909	6977
40	28707	6301
41	29417	5603
42	29950	4875
43	30600	4172
44	31077	3453
45	31875	2771
46	32451	2071
47	32966	1373
48	33683	687
49	34316	0
